股票代码,公司,简介,公司网站,公司地址,公司电话
SH603439,贵州三力,"贵州三力制药股份有限公司的主营业务是药品的研发、生产及销售。公司主要产品有开喉剑喷雾剂(儿童型)、开喉剑喷雾剂、强力天麻杜仲胶囊、脑立清胶囊、紫河车胶囊、三七胶囊、藿香正气胶囊、蛇胆川贝胶囊、杞菊地黄胶囊、银翘伤风胶囊。公司多项产品被评为贵州省名牌产品，商标被评为贵州省著名商标。公司产品开喉剑喷雾剂(含儿童型)在咽喉疾病中成药喷雾剂市场中的排名也已赶超桂林西瓜霜喷雾剂而占据首席,连续3年排名第1,在咽喉疾病中成药喷雾剂医院终端市场已连续6年市场排名第1,在咽喉疾病中成药市场和咽喉疾病中成药医院终端市场中的排名分别位列第4和第3位。",http://www.gz-sanli.com,贵州省安顺市平坝区夏云工业园区,86-851-38113395
SZ000708,中信特钢,中信泰富特钢集团股份有限公司主营业务为钢铁冶炼、钢材轧制、金属改制、压延加工、钢铁材料检测。主要产品类型为合金钢棒材、合金钢线材、特种钢板、特种无缝钢管、特冶锻造、合金钢大圆坯等。公司轴承钢荣获国家金质奖、弹簧扁钢荣获国家银质奖，13项产品获国家冶金产品实物质量金杯奖，8种系列产品评为中国高新技术产品。“高品质特殊钢绿色高效电渣重熔关键技术的开发应用”项目获得2019年国家科技进步奖励提名。2020年公司获得国家科学技术进步一等奖1项，省级科技进步奖1项，冶金科学技术二等奖2项，获得授权专利213项，发明专利45项，累计获得授权专利1017项，发明专利218项，并有4项授权的国际发明专利。,http://www.citicsteel.com,"湖北省黄石市黄石港区黄石大道316号,江苏省无锡市江阴市长山大道1号中信特钢大楼",86-510-80673288;86-510-80675678
SH603182,嘉华股份,山东嘉华生物科技股份有限公司主要从事大豆蛋白为主要产品的大豆深加工、生产与销售。公司的主要产品为大豆蛋白以及大豆膳食纤维、大豆油、低温食用豆粕等。,http://www.sinoglorygroup.com,山东省聊城市莘县鸿图街19号,86-635-2909010
SH688237,超卓航科,湖北超卓航空科技股份有限公司的主营业务是定制化增材制造和机载设备维修。公司的主要服务为机体结构再制造、零部件生产制造及机载设备维修。公司获得的与科研相关的主要荣誉、奖项及资质有2021年湖北省专精特新“小巨人”企业、2020年第二十四届全国发明展览会“发明创业奖·项目奖”银奖、第八届绿色制造科学技术进步奖“绿色制造技术进步奖”三等奖。,http://www.hbchaozhuo.com,湖北省襄阳市樊城区高新区台子湾路118号,86-710-3085022;86-710-3085204
SZ300351,永贵电器,浙江永贵电器股份有限公司主营业务是各类电连接器、连接器组件及精密智能产品的研发、制造、销售和技术支持，公司产品以连接器为核心，各大领域纵深拓展，形成具有公司特色的产品结构，公司从事的主要业务情况介绍如下：轨道交通与工业板块产品主要包括：连接器、减振器、门系统、计轴信号系统、贯通道、受电弓、碳滑板、蓄电池箱等；新能源汽车板块产品主要包括：高压连接器及线束组件、PDU/BDU、充/换电接口及线束、交/直流充电枪、大电流液冷直流充电枪等；通信板块产品主要包括：防水连接器、电源连接器、PCB板卡类连接器、高频RF连接器、高速电缆组件、精密FPC、WTB、BTB、USB3.0等；军工板块产品主要包括：军用圆形电连接器、军用微矩形电连接器、机柜连接器、航空电子模块式连接器、核用连接器、军用圆形多芯光纤连接器、军港岸电连接器、军用网口连接器、玻璃烧结连接器、军用深水连接器、军用射频连接器以及其它特殊定制开发的特种军用连接器及其相关电缆组件。公司在精密连接器和结构件产品领域占据国内明显优势地位。,http://www.yonggui.com,浙江省台州市天台县白鹤镇东园路5号(西工业区),86-576-83938635
SH688275,万润新能,"湖北万润新能源科技股份有限公司是一家主要从事锂电池正极材料研发，生产和销售的高新技术企业。公司的主要产品包括汽车锂离子动力电池和磷酸铁，三元材料前驱体，磷酸锰铁，草酸亚铁，电池级氧化铁，氧化铁黑等储能电池正极材料前驱体。公司所获得的荣誉有第三批专精特新“小巨人”企业公示名单，2018年制造业“双创平台”试点示范项目，湖北省科技进步奖叁等奖，湖北省支柱产业细分领域隐形冠军示范企业(2019-2021),湖北省高价值专利大赛金奖，湖北省信息化和工业化融合试点示范企业，湖北省企业技术中心等。",http://www.hbwanrun.com,湖北省十堰市郧阳区经济开发区天马大道557号,86-719-7676586
SH603966,法兰泰克,法兰泰克重工股份有限公司主要从事欧式起重机、自动化起重机、智能起重机、缆索起重机、工程机械及部件的研发、制造、销售和服务，为国家起重机A类制造企业。起重业务板块主要为客户提供智能物料搬运解决方案。公司是国内智能物料搬运领域的领先者。工程机械业务板块主要包括工程机械部件和高空作业平台业务。,http://www.eurocrane.com.cn,江苏省苏州市吴江区汾湖经济开发区汾越路288号,86-512-82072666
SZ300170,汉得信息,"上海汉得信息技术股份有限公司是一家提供专业ERP咨询服务的IT企业。公司主要产品包括ERP实施服务、ERP软件外包、ERP客户支持服务及ERP软件销售等,公司拥有CMMI Level3、2019年上海软件和信息技术服务业百强、2018上海服务业企业100强、2019中国物联网系统集成商50强、信息安全管理体系认证、质量管理体系认证、中国电子信息行业联合会信息系统集成及服务资质三级等证书。",http://www.hand-china.com,上海市青浦区汇联路33号,86-21-67002300;86-21-50177372
SZ300780,德恩精工,四川德恩精工科技股份有限公司主营业务为从事皮带轮、锥套等机械传动零部件及其配套产品的研发、设计、生产和销售；同时也根据客户需求提供定制化的非标机械零部件产品。公司主要产品为皮带轮、锥套、同步带轮、胀套、链轮、减速机、联轴器、齿轮、法兰、工业皮带、聚氨酯同步带等机械传动零部件。经过十多年的快速发展，公司已成为国内皮带轮、锥套等机械传动零部件行业的领军企业。,http://www.cpt-world.com,四川省眉山市青神县兴业路9号,86-28-38858588
SH688022,瀚川智能,"苏州瀚川智能科技股份有限公司是一家专业的智能制造整体解决方案供应商,主要从事智能制造装备及系统的研发、设计、生产、销售和服务。主要产品有智能制造装备及系统、零部件。",http://www.harmontronics.com,江苏省苏州市吴中区工业园区听涛路32号,86-512-62819001-60163
SH601238,广汽集团,广州汽车集团股份有限公司现有主要业务包括研发、整车（汽车、摩托车）、零部件、商贸服务、金融五大业务板块，构成了完整的汽车产业链闭环。主要包括研发板块、整车板块、商贸服务板块、零部件板块、金融板块。集团已经形成了立足华南，辐射华中、华东、西北和环渤海地区的产业布局和以整车制造为中心，涵盖上游的汽车研发、零部件以及下游的汽车商贸、汽车金融、移动出行的产业链闭环， 是国内产业链最为完整、产业布局最为优化的汽车集团之一。,http://www.gac.com.cn,广东省广州市天河区珠江新城兴国路23号广汽中心,86-20-83151139
SH688513,苑东生物,成都苑东生物制药股份有限公司的主营业务为化学原料药、高端化学药品及生物药品研发、生产、销售。公司的主要产品为麻醉镇痛药、心脑血管药、抗肿瘤药、儿童药、消化药。2020年公司8个主要产品中的盐酸纳美芬注射液、布洛芬注射液、伊班膦酸钠注射液3个产品市场占有率排名第一，富马酸比索洛尔片、枸橼酸咖啡因注射液、注射用复方甘草酸苷3个产品市场占有率排名第二，乌苯美司胶囊、依托考昔片2个产品市场占有率排名第三，体现出公司产品较强的市场竞争力。,http://www.eastonpharma.cn,四川省成都市双流区安康路8号,86-28-86106668
SZ002484,江海股份,南通江海电容器股份有限公司主要从事电容器及其材料、配件的研发、生产、销售和服务。化成箔、腐蚀箔是铝电解电容器使用的主要材料，是公司产业链延伸发展的产品，其很大程度上决定了电容器的性能和成本，主要性能指标达到国内先进水平，销售以内部配套为主，但外销比重逐年提高。公司是全球在电力电子领域少数几家同时在三大类电容器进行研发、制造和销售的企业之一，因应了下游战略性新兴产业的发展对基础元器件的需求，业务遍布工业自动化、机器人、消费电子、轨道交通、5G通讯设备、新能源、智能电网、军工等多个领域，工业类电容器的技术性能和产销量位列全球同行前列，成为中高端市场的主流产品。以性能、品质和服务铸就的“jianghai”、“江海”是中国驰名商标、江苏省名牌产品，具有较高的知名度和客户满意度及一定的议价能力。,http://www.jianghai.com,江苏省南通市通州区平潮镇通扬南路79号,86-513-86726006
SZ300328,宜安科技,东莞宜安科技股份有限公司专业从事新材料研发、设计、生产、销售；主要产品为铝制品、镁制品、电木制品、液态金属、模具、锌制品、五金制品。,http://www.e-ande.com,广东省东莞市清溪镇银泉工业区,86-769-87387777
SZ002858,力盛体育,力盛云动(上海)体育科技股份有限公司是一家以赛事运营及服务为核心、赛车场/馆（包括卡丁车场/馆）经营、赛车队经营及运营服务为载体，汽车活动推广为延伸，汽车运动技术研发/服务、赛车培训、少儿卡丁车培训、赛车装备和用品代理及销售、娱乐卡丁车制造等为补充，为客户提供汽车运动全产业链服务的体育服务企业，是中国全民健身、数字体育的领跑者，领先的汽车运动运营服务商。公司主要产品包括赛事运营、赛车场/馆经营、赛车队经营、汽车活动推广。2020年8月公司获得了国家体育总局颁发的“国家体育产业示范单位”。,http://www.lsracing.cn,上海市长宁区福泉北路518号8座2楼,86-21-62418755
SH688486,龙迅股份,"龙迅半导体(合肥)股份有限公司的主营业务是为高清视频桥接及处理芯片和高速信号传输芯片的研发设计和销售。主要产品是高清视频信号处理芯片、高速信号传输芯片。
　　公司获得了“国家知识产权优势企业”、“高新技术企业”、“安徽省专精特新中小企业”等多项资质及荣誉。",http://www.lontiumsemi.com,安徽省合肥市包河区经济技术开发区宿松路3963号智能装备科技园B3栋,86-551-68114688-8100
SZ001298,好上好,深圳市好上好信息科技股份有限公司的主营业务是电子元器件分销，主要向消费电子、物联网、照明、工业控制、汽车电子及新能源等应用领域的电子产品制造商销售电子元器件，并提供相关产品设计方案和技术支持等服务。主要产品包括SoC芯片、无线芯片及模块、电源及功率器件、模拟/数字器件、存储器、LED器件、处理器、传感器、光电器件、结构件及被动器件等各类电子元器件。　　　　2020年，中国信息产业商会（CIITA）电子元器件应用与供应链分会（ECAS）授予公司“副理事长单位”称号。公司获得《国际电子商情》“2019年度全球电子元器件分销商卓越表现奖”。,http://www.bobholdings.com,广东省深圳市南山区粤海街道高新区社区高新南一道002号飞亚达科技大厦1501A,86-755-86013767
SZ000982,中银绒业,"宁夏中银绒业股份有限公司主营业务是羊绒和羊绒制品贸易，新能源锂电池正极材料生产销售、负极材料石墨化加工业务和锂电池应用端业务，以及特种石墨业务。主要产品以天然动、植物纤维为主要原材料,制成品涵盖纱线、面料、成衣、服饰等针织及梭织产品,包括各类精纺、粗纺纺织品。",http://www.zhongyinrongye.com,宁夏回族自治区银川市金凤区泰康街隆基大厦15层,86-13323505023;86-951-5969328
SH688173,希荻微,广东希荻微电子股份有限公司的主营业务是电源管理芯片及信号链芯片在内的模拟集成电路的研发、设计和销售，并提供售后服务。公司主要产品是DC/DC芯片、超级快充芯片、锂电池快充芯片、端口保护和信号切换芯片等。2020年度，公司在手机非平台厂集成DC/DC芯片领域市场占有率达到11%，位列行业第二。,http://www.halomicro.cn,广东省佛山市南海区桂城街道桂澜北路6号千灯湖创投小镇核心区自编号八座(A8)305-308单元(住所申报),86-757-81280550
SZ002079,苏州固锝,苏州固锝电子股份有限公司业务主要集中在半导体领域及光伏领域，主要产品包括汽车整流二极管、功率模块、整流二极管芯片、硅整流二极管、开关二极管、稳压二极管、微型桥堆、军用熔断丝、光伏旁路模块、无引脚集成电路产品和分立器件产品、晶硅太阳能电池正面电极银浆、晶硅太阳能电池背面电极银浆、异质结电池用银浆等，2020年，公司被评为“2019年功率器件十强”、“2019年综合贡献一等奖”、“2020年省级出口名牌企业”、ISO9001、ISO14001、ISO45001、IATF16949、QC080000、ISO27001等认证体系，2018年成功升级为IATF16949的最新标准，得到国际汽车电子级客户的认可。,http://www.goodark.com,江苏省苏州市虎丘区高新区通安镇华金路200号,86-512-66069609
SH603260,合盛硅业,合盛硅业股份有限公司主要从事工业硅及有机硅等硅基新材料产品的研发、生产及销售。公司的主要产品包括工业硅及有机硅产品两大类，并有少量多晶硅产品。公司是我国目前最大的工业硅生产企业。目前公司已经与江苏中能硅业科技发展有限公司、山东东岳有机硅材料股份有限公司、瓦克化学（中国）有限公司、浙江开化元通硅业有限公司、杭州之江新材料有限公司、上海回天新材料有限公司等行业知名企业建立了密切的业务合作关系，公司的行业龙头地位突出。,http://www.hoshinesilicon.com,浙江省宁波市慈溪市北三环东路1988号恒元广场A座23-24F,86-574-58011165
SH688601,力芯微,无锡力芯微电子股份有限公司主营业务为模拟芯片的研发及销售，主要通过高性能、高可靠性的电源管理芯片为客户提供高效的电源管理方案，并积极研发和推广智能组网延时管理单元、信号链芯片等其他类别产品。公司的主要产品为电源管理芯片，按功能可分为电源转换、电源防护、显示驱动等。,http://www.etek.com.cn,江苏省无锡市新吴区新辉环路8号,86-510-85217779
SZ300207,欣旺达,欣旺达电子股份有限公司的主营业务是锂离子电池模组的研发、设计、生产及销售。公司主要产品为锂离子电池模组。公司评为广东省民营企业百强（第41位）、财富中国500强（344位）、中国轻工业二百强（第39名），轻工业科技百强（第5名），公司“动力电池系统安全性关键技术及应用项目”获得2020年度广东省科学技术奖“科技进步奖一等奖”，建设了深圳市首条5G+工业互联网生产线。,http://www.sunwoda.com,"No. 2 Yihe Road, Shilong Community,
518108 Guangdong
China",86-755-27352064
SZ300105,龙源技术,烟台龙源电力技术股份有限公司的主营业务为节能业务、环保业务及新能源业务。主要产品有节油业务、低氮燃烧业务、清洁供暖业务、工业尾气治理。公司与国内各大发电集团及地方发电企业建立了长期合作关系，并在美国、韩国、印度、俄罗斯等国家建立了品牌影响力，各类产品应用于21个国家和地区。,http://lyjs.chnenergy.com.cn,山东省烟台市福山区中国(山东)自由贸易试验区烟台片区烟台开发区白云山路2号,86-535-3417182
SH603058,永吉股份,"贵州永吉印务股份有限公司主营业务为烟标和其他包装印刷品的设计、生产和销售。公司主要产品有烟标、药盒、酒盒、铝纸及框架纸。公司通过持续的研发投入、装备升级等手段,完成了技术和人才积累,在烟标印刷市场牢牢占有一席之地,已经成长为贵州省印刷行业的龙头企业。",http://www.yongjigf.com,贵州省贵阳市云岩区观山东路198号,86-851-86607332
SH600418,江淮汽车,"安徽江淮汽车集团股份有限公司是一家集商用车、乘用车及动力总成研发、制造、销售和服务于一体的综合型汽车厂商。其主要产品有各类汽车及底盘、风商务车(MPV),瑞鹰越野车(SRV),C级宾悦、B级和悦及和悦RS、A级同悦及同悦RS、A0级悦悦轿车。2010年,2.0TCI发动机被评为2009年""中国心""十佳发动机,HFC4GB1.3C发动机荣获2010年""中国心""十佳发动机。2010年10月21日荣获中国质量领域最高奖--全国质量奖。",http://www.jac.com.cn,安徽省合肥市包河区东流路176号,86-551-62296835
SZ002332,仙琚制药,浙江仙琚制药股份有限公司主营业务为甾体原料药和制剂的研制、生产与销售。公司产品主要分为皮质激素类药物、性激素类药物（妇科及计生用药）、麻醉与肌松类药物三大类。皮质激素类药物（原料药及制剂）包括地塞米松系列、泼尼松系列、曲安西龙系列；性激素类药物（主要是制剂）包括孕激素类、雄性激素类、雌性激素类，主要产品有黄体酮胶囊（益玛欣）、左炔诺孕酮肠溶胶囊、米非司酮片等；麻醉与肌松类药物（制剂）包括注射用苯磺顺阿曲库铵、罗库溴铵注射液、注射用维库溴铵、甲磺酸罗哌卡因注射液等；呼吸科主要产品有糠酸莫米松鼻喷雾剂、噻托溴铵粉雾剂和环索奈德气雾剂；皮肤科主要产品有糠酸莫米松凝胶、糠酸莫米松乳膏和丙酸氟替卡松乳膏等。,http://www.xjpharma.com,浙江省台州市仙居县福应街道现代工业集聚区丰溪西路15号,86-576-87731138
SZ000859,国风新材,安徽国风新材料股份有限公司主营业务为生产经营双向拉伸聚丙烯薄膜和双向拉伸聚酯薄膜等包装膜材料、预涂膜材料、电容器用薄膜、聚酰亚胺薄膜、高分子功能膜材料和电子信息用膜材料，以及木塑新材料、工程塑料等。公司的主要产品为双向拉伸聚丙烯薄膜（BOPP薄膜）产品。截止到2021年6月底，公司共拥有各类有效专利274项，其中发明专利68项，实用新型专利192项，外观设计专利14项。,http://www.guofeng.com,安徽省合肥市蜀山区国家高新技术产业开发区铭传路1000号,86-551-68560860
SH688683,莱尔科技,广东莱尔新材料科技股份有限公司主营业务为功能性涂布胶膜材料及下游应用产品的研发、生产和销售。公司主要产品有FFC多功能胶膜、补强板、LED柔性线路板膜等热熔胶膜，防爆装饰一体膜、制程保护膜、TP模组保护膜等压敏胶膜。公司连续三年被中国照明学会半导体照明技术与应用专业委员会授予“中国LED首创奖”荣誉。,http://www.leary.com.cn,广东省佛山市顺德区大良街道国泰南路3号保利商贸中心1栋20层,86-757-66833180
SZ003033,征和工业,青岛征和工业股份有限公司主营业务为事各类链传动系统的研发、制造和销售。公司主要产品有摩托车链系统、汽车链系统、农业机械链系统、工业设备链系统。征和工业是国家级高新技术企业、中国链传动行业重点出口基地，拥有国家认定企业技术中心。公司研发的部分主导产品已达国际先进水平。自成立以来，公司承担多项国家级重大科研项目，主持或参与制修订了19项国家及行业标准，先后获得57项国家专利。近年来，公司荣获了包括中国农机零部件龙头企业、第十五届全国质量奖鼓励奖、中国链传动行业骨干企业、中国标准创新贡献奖、中国机械工业优质品牌、中国机械通用零部件工业协会专精特企业、首届青岛市市长质量奖等诸多重量级奖项，同时“征和”品牌荣膺“中国驰名商标”的称号。,http://www.chohogroup.com,山东省青岛市平度市香港路112号,86-532-88306381
SH688700,东威科技,昆山东威科技股份有限公司的主营业务为高端精密电镀设备及其配套设备的研发、设计、生产及销售。公司的主要产品为刚性板VCP、柔性板片对片VCP、柔性板卷对卷VCP、水平式除胶化铜设备、龙门式电镀设备、连续滚镀设备。凭借公司自主研发的垂直连续电镀等技术，公司VCP设备在电镀均匀性、贯孔率（TP）等关键指标上均达到了业内领先水平。其中柔性板片对片VCP在板厚36μm-300μm时电镀均匀性能够达到10μm±1μm，达到了国际同类设备的技术水平。,http://www.ksdwgroup.com,江苏省苏州市昆山市巴城镇东定路505号,86-512-57710500
SH688063,派能科技,上海派能能源科技股份有限公司的主营业务为磷酸铁锂电芯、模组及储能电池系统的研发、生产和销售。公司主要产品是储能产品。2019年公司荣获2019年度中国储能产业最佳储能电池供应商奖、2019年度储能产业十大储能电池供应商奖、SOLAR STORAGE AWARDS（太阳能储存奖）等奖项。,http://www.pylontech.com.cn,上海市浦东新区中国(上海)自由贸易试验区祖冲之路887弄72号5楼,86-21-31590029
SZ300188,美亚柏科,厦门市美亚柏科信息股份有限公司的主营业务是电子数据取证和网络信息安全产品及相关服务。公司的主要产品包括：网络空间安全产品、大数据智能化平台、网络开源情报、智能装备制造。公司是国内电子数据取证行业龙头企业、公安大数据领先企业、网络空间安全和社会治理领域国家队企业。公司入选2021中国网络安全百强榜单领军企业，上榜2021年中国网安产业竞争力50强榜单。公司“乾坤”大数据平台荣获2021年数博会“2021领先科技成果奖”，“乾坤”大数据操作系统（QKOS）入选工信部2021年大数据产业发展试点示范项目。,http://www.300188.cn,福建省厦门市思明区软件园二期观日路12号102-402单元,86-592-3698792
SH600367,红星发展,"贵州红星发展股份有限公司主营业务为钡盐、锶盐和锰系产品的研发、生产和销售,主要产品有碳酸钡、碳酸锶、电解二氧化锰等。",http://www.hxfz.com.cn,贵州省安顺市镇宁布依族苗族自治县丁旗街道,86-851-36780066
SH600499,科达制造,科达制造股份有限公司主要从事建筑陶瓷机械、海外建材、锂电材料及装备的生产和销售，主要产品有建材机械装备、清洁环保设备、融资租赁、锂电材料、建筑陶瓷。2019年，凭借强大的创新研发能力，公司荣获“中国企业专利500强”、“中国陶瓷科技创新奖”、改革开放40年“致敬·创新企业”企业等殊荣，彰显了公司的专业实力。,http://www.kedachina.com.cn,广东省佛山市顺德区陈村镇广隆工业园环镇西路1号,86-757-23833869
SZ300457,赢合科技,深圳市赢合科技股份有限公司的主营业务是为客户提供锂电池自动化装备和服务，以及电子烟ODM代工业务。公司锂电池自动化装备广泛应用于锂电池生产的前中段主要工序。通过持续研发和创新，公司的涂布机、辊压机、分切机、制片机、卷绕机、叠片机、组装线等系列核心设备的技术性能行业领先，已获得国内外一线客户的认可。公司电子烟业务主要以ODM代工业务为主，为客户提供电子烟、烟弹、雾化器及其他电子烟配件等产品。公司秉持“创新驱动发展”战略，持续大力投入研发创新，核心产品性能行业领先，先后获得“国家级高新技术企业”、“广东省著名商标”、“国家火炬计划重点高新技术企业”、“博士后创新实践基地”等荣誉称号。,http://www.yhwins.com,广东省深圳市南山区粤海街道滨海社区科园路1006号软件产业基地5栋E座901室,86-755-86310555
SZ300845,捷安高科,"郑州捷安高科股份有限公司是专注于轨道交通、安全作业、船舶等领域计算机仿真实训系统研发与技术服务的整体解决方案提供商。自成立以来公司专注于以计算机仿真、虚拟现实技术为依托,面向开设轨道交通相关专业的学校、各地铁路局及其下属单位、地铁公司等提供涵盖铁路交通、城市轨道交通的系统化仿真实训整体解决方案。近年来,公司将轨道交通领域所积累的核心技术拓展应用至安全作业、船舶等其他行业,提供系统化仿真实训软硬件设备和相关技术服务。公司是轨道交通仿真实训系统行业的主要供应商之一。2017年11月,交通运输部公布《2017年交通运输行业研发中心和重点实验室认证结果的通知》,公司被认定为“城市轨道交通运营安全管理技术及装备”行业研发中心。",http://www.jantech.cn,河南省郑州市中原区高新技术产业开发区科学大道133号11层,86-371-86589303
SH600868,梅雁吉祥,广东梅雁吉祥水电股份有限公司从事的主要业务为水利发电、教育业和制造业。公司电站所在区域全部在广东，目前所发电量全部由广东电网公司收购，拥有梅县坝头、梅县单竹窝、丙村、三龙、丰顺梅丰等七个水电站。,http://www.chinameiyan.com,广东省梅州市梅县区新县城沿江南路1号,86-753-2218286
SZ300659,中孚信息,中孚信息股份有限公司主营业务为信息安全产品研发、生产、销售及信息安全服务。公司主要产品及服务包括主机与网络安全、数据安全、安全监管平台、检查检测、密码应用。公司聚焦在网络安全保密领域，以市场为导向，以技术融合为抓手，着力打造安全保密技术、国产密码技术、人工智能和大数据技术深度融合的特色优势，集中优质资源打造在整体网络空间安全保密领域的核心竞争力，巩固和夯实保密领域的优势地位。,http://www.zhongfu.net,山东省济南市历城区高新区经十路7000号汉峪金谷A1-5号楼25层,86-531-66590077
SZ300035,中科电气,湖南中科电气股份有限公司主营业务为电磁、电气、机械设备的设计、制造及销售(不含卫星广播电视地面接收设施及国家监控电子产品)；锂离子电池负极材料相关产品的生产、销售。主要产品为锂离子电池负极材料、电磁冶金专用设备、工业磁力设备、锂电专用设备。公司所处的电磁冶金行业处于成熟发展阶段，凭借产品线的完整程度、产品技术领先程度、产品质量稳定性方面在行业内的明显优势，电磁冶金专用设备的市场占有率超60%，稳居国内行业龙头地位。,http://www.cseco.cn,湖南省长沙市岳麓区梅溪湖街道泉水路32号亿达中建智慧科技园3栋五楼,86-731-82203875
SH600863,内蒙华电,内蒙古蒙电华能热电股份有限公司的主营业务是火力发电、风力发电、其他新能源发电、煤炭资源开采及蒸汽、热水的供应经营等。公司的主要服务是火力发电、供热，蒸汽、热水的生产、供应、销售、维护和管理；风力发电以及其他新能源发电和供应；对煤炭、铁路及配套基础设施项目的投资，对煤化工、煤炭深加工行业投资、建设、运营管理，对石灰石、电力生产相关原材料投资，与上述经营内容相关的管理、咨询服务。,http://www.nmhdwz.com,内蒙古自治区呼和浩特市玉泉区锡林南路工艺厂巷电力科技楼,86-471-6222388
SH688375,国博电子,南京国博电子股份有限公司的主要从事有源相控阵T/R组件和射频集成电路相关产品的研发、生产和销售。产品主要包括有源相控阵T/R组件、砷化镓基站射频集成电路等。,http://www.gbdz.net,江苏省南京市江宁区经济技术开发区正方中路166号,86-25-68005855;86-25-68115835
SH603809,豪能股份,"成都豪能科技股份有限公司主营业务为汽车传动系统相关零部件产品的研发、生产和销售以及航空零部件的精密制造，主要产品包括铜质齿环、钢质齿环、齿毂、齿套、结合齿等。公司是国家高新技术企业,建有省级技术中心、工程技术研究中心和国家认可实验室。经过多年发展,公司已建成一支具有丰富经验的技术研发团队,在原材料铜合金制造、模具设计制造、精密锻造、高精度切削加工、热处理、喷钼处理、摩擦材料粘附技术等全工艺过程都拥有自己的核心技术,在国内同行业中处于领先水平。公司是国家高新技术企业，建有省级技术中心、工程技术研究中心和国家认可实验室。",http://www.cdhntech.com,四川省成都市龙泉驿区经济技术开发区南二路288号,86-28-86216886
SH688205,德科立,无锡市德科立光电子技术股份有限公司深耕光电子器件行业二十余年，主营业务涵盖光收发模块、光放大器、光传输子系统的研发、生产和销售，产品主要应用于通信干线传输、5G前传、5G中回传、数据链路采集、数据中心互联、特高压通信保护等国家重点支持发展领域。公司主要产品为光收发模块、光放大器、光传输子系统。公司自成立以来，陆续承担了国家火炬计划项目、国家高技术产业化示范工程、863项目、江苏省科技成果转化等项目，“WDM超长距离光传输设备项目”曾荣获国家科技进步二等奖。,http://www.taclink.com,江苏省无锡市新吴区新区科技产业园93号-C地块,86-510-85347006
SH688622,禾信仪器,"广州禾信仪器股份有限公司主营业务为从事环境监测领域质谱分析仪器的研发、生产、销售及相关技术服务，主要产品和服务基于高分辨飞行时间质谱技术与在线源解析方法，应用于对PM2.5、VOCs等大气污染物进行实时、在线的成分检测及来源分析等。
　　公司多次承担或参与国家重大科学仪器设备开发专项、国家高技术研究发展(863)计划、国家重点研发计划、中科院战略性先导科技专项等国家重大科研项目、课题,于2012年入选科技部“国家火炬计划重点高新技术企业”,于2019年入选工信部第一批专精特新“小巨人”企业。",http://www.tofms.net,广东省广州市黄埔区新瑞路16号,86-20-82071910-8007
SZ300521,爱司凯,爱司凯科技股份有限公司主要专注于工业化打印产品的技术研发、生产销售和服务解决方案。产品包括平面打印和3D打印，主导产品为计算机直接制版机（CTP），涵盖了胶印直接制版机（胶印CTP）和柔印直接制版机（柔印CTP），是国内产品线最齐全的CTP厂商之一。其中以256路激光光阀技术为基础的高端CTP采用了国内独有的技术。,http://www.amsky.cc,广东省广州市越秀区东风东路745号东山紫园商务大厦1505房,86-20-28079595
SZ002935,天奥电子,"成都天奥电子股份有限公司主要从事时间频率产品、北斗卫星应用产品的研发、设计、生产和销售。时间频率产品包括频率系列产品和时间同步系列产品两类：其中频率系列产品通过产生和处理频率信号，生成电子设备和系统所需的各种频率信号；时间同步系列产品通过接收、产生、保持和传递标准时间频率信号，为各应用系统提供统一的时间和频率信号。经过多年的发展和技术积累,公司已成为国内综合实力强、产品种类齐全、技术水平领先的军用时间频率产品研发生产企业之一,是我国原子钟、军用时间同步设备和系统主要供应商,在民用领域的地位也不断增强。",http://www.elecspn.com,四川省成都市金牛区盛业路66号,86-28-87559307
SH688408,中信博,江苏中信博新能源科技股份有限公司主营业务为光伏跟踪支架、固定支架及BIPV系统制造商和解决方案提供商。公司主要产品是太阳能光伏支架，分为固定支架和跟踪支架。公司在行业内建立了良好的客户口碑和优秀的品牌声誉，近年来，公司获得了“2019年领跑中国可再生能源先行企业100强”、中国光伏领跑者创新论坛颁发的“2019光伏绿色建筑产业品牌领跑奖”等荣誉和奖项。,http://www.arctechsolar.cn,江苏省苏州市昆山市陆家镇华阳路190号,86-512-57353472-8088
SH601857,中国石油,中国石油天然气股份有限公司1999年11月5日成立，是我国油气行业占主导地位的最大的油气生产和销售商，是我国销售收入最大的公司之一，也是世界最大的石油公司之一。公司致力于发展成为具有较强竞争力的国际能源公司，成为全球石油石化产品重要的生产和销售商之一。中国石油广泛从事与石油、天然气有关的各项业务，主要包括：原油和天然气的勘探、开发、生产和销售；原油和石油产品的炼制、运输、储存和销售；基本石油化工产品、衍生化工产品及其他化工产品的生产和销售；天然气、原油和成品油的输送及天然气的销售。公司以科学发展观为指导，加快实施资源、市场和国际化三大战略，着力加快转变增长方式，着力提高自主创新能力，着力建立安全环保节能长效机制，着力建设和谐企业，致力于发展成为具有较强竞争力的国际能源公司。,http://www.petrochina.com.cn,"9 Dongzhimen North Street
Dongcheng District
Beijing 100007
The People’s Republic of China",86-10-59986959;86-10-59982622
